fraction,n_paths,bets_per_path,median_final,mean_final,p5_final,p25_final,p75_final,p95_final,roi_median,roi_mean,roi_p5,roi_p95,p_ruin,median_max_dd,p95_max_dd,median_sharpe,score
0.1,10000,150,1714.4389603315308,1727.6390352347717,1370.002434934112,1563.9480588777524,1875.4304498620688,2129.197938740213,0.14295930688768732,0.15175935682318104,-0.08666504337725871,0.41946529249347525,0.0,0.09943076890123426,0.1892599346680772,0.08186011490070064,5.1
0.2,10000,150,1924.2167908341726,1989.606905772762,1227.1943825203339,1601.5563070961432,2304.067089889013,2969.0084397244364,0.2828111938894483,0.32640460384850795,-0.18187041165311071,0.9793389598162908,0.0,0.19272249677936032,0.3493317263978668,0.07584760524621129,6.7
0.25,10000,150,2025.077749823046,2135.0468859007647,1153.2595727904543,1610.0234047375175,2535.896844848056,3481.645197235357,0.35005183321536393,0.4233645906005097,-0.23116028480636383,1.3210967981569048,0.0003,0.23687854598704206,0.41943918632013594,0.07229415965283101,6.5
0.33,10000,150,2177.6966746592807,2389.816960459003,1034.5968155471733,1608.9627355172859,2929.657727536229,4459.333540782176,0.4517977831061871,0.5932113069726686,-0.31026878963521776,1.9728890271881176,0.0047,0.3044571088383332,0.5186034192286898,0.06687176122419786,4.9
0.5,10000,150,2444.6300737018573,3028.576867452386,598.773057296578,1535.2881191585832,3825.934725537764,7262.145100210522,0.6297533824679049,1.0190512449682574,-0.6008179618022814,3.841430066807015,0.0523,0.43513746962948335,0.6597814254523968,0.05534678752751382,0.3
0.75,10000,150,2560.5122946074634,4238.259192012561,563.2726939772515,1065.2805766684683,5119.5727348823275,13533.334580057079,0.7070081964049757,1.8255061280083733,-0.6244848706818323,8.022223053371386,0.1971,0.5971848677110962,0.7758165900104131,0.03656737569740648,0.0
1.0,10000,150,2049.4757038302796,5886.871580158718,535.8388074109866,583.5438258039549,5908.440424787611,22488.241598435965,0.3663171358868529,2.924581053439145,-0.6427741283926756,13.992161065623977,0.3575,0.6803840350732264,0.8498572725790546,0.013101548366993572,0.0
1.5,10000,150,583.3344981080727,11636.528373667994,478.88779315742715,544.4170101389623,4001.8368947209965,40598.96589133317,-0.6111103345946183,6.757685582445329,-0.6807414712283819,26.06597726088878,0.6202,0.7755452596987025,0.9330183349361499,-0.03528939565145643,0.0
2.0,10000,150,554.5154885866023,26065.485559083078,425.67950441131876,506.90598316600114,593.9830380169278,41208.5297771166,-0.6303230076089318,16.376990372722048,-0.7162136637257875,26.4723531847444,0.7917,0.8171837834861992,0.9684012157103726,-0.06591077831345246,0.0
